Producto,CodigoOrigen,Codigo,Categoria,Proveedor,Deposito,Ubicacion,Cantidad,StockSeguridad
BANDEJA TAB. SCHNEIDER 700X500,826636,2661,Insumos,AWC,Anaya 2710,,15,10
BARRA PARA HANSEN 1/2,63516-00025,2418,Insumos,AWC,Anaya 2710,,15,10
BARRA PARA HANSEN 1/4,63516-00016,2416,Insumos,AWC,Anaya 2710,,15,10
BARRA PARA HANSEN 3/8,63516-00020,2417,Insumos,AWC,Anaya 2710,,15,10
BASE BOMBA INOX EJ,,2758,Insumos,AWC,Anaya 2710,,15,10
BASE BOMBA INOX EW,,2759,Insumos,AWC,Anaya 2710,,15,10
BASE INOX P/BOMBA MEDIANA,,2371,Insumos,AWC,Anaya 2710,,15,10
BASE REGULABLE 80mm AISI 304M16x100mm,000.01.028.00.00,3014,Insumos,AWC,Anaya 2710,,15,10
BATTERY,11132,2327,Insumos,AWC,Anaya 2710,,15,10
BEARING,10910,2323,Insumos,AWC,Anaya 2710,,15,10
Bidón Ac. Peracetico,AC PERAC,1296,Insumos,AWC,Anaya 2710,,15,10
BIDON C/TAPA X 10,,2200,Insumos,AWC,Anaya 2710,,15,10
BIDON C/TAPA X 20,,2196,Insumos,AWC,Anaya 2710,,15,10
BIDON C/TAPA X 5,,2197,Insumos,AWC,Anaya 2710,,15,10
BIDON NAFTA 20 LTS,,2532,Insumos,AWC,Anaya 2710,,15,10
BIDON NAFTA 5 LTS,,2531,Insumos,AWC,Anaya 2710,,15,10
"BIG BLUE 20"" HOUSING 1.5""",BB,1809,Insumos,AWC,Anaya 2710,,15,10
BIRM-DIOXIDO DE MANGANESO,A8006,1545,Insumos,AWC,Anaya 2710,,15,10
BOBINA  220V p/ELECTROVALVULA,SOL-COIL-220,1886,Insumos,AWC,Anaya 2710,,15,10
BOBINA DE 24V p/ELCTROVALVULA,SOL-COIL-24,1885,Insumos,AWC,Anaya 2710,,15,10
BOBINA ELECTROVALV. BRONCE 1/4,2526,2579,Insumos,AWC,Anaya 2710,,15,10
BOBINADO DE MOTOR,,2689,Insumos,AWC,Anaya 2710,,15,10
BOBMA PROCON 103A100F11XX-S3,103A100F11XX,2116,Insumos,AWC,Anaya 2710,,15,10
BOCHA P/GRIFO INOX,14372,2427,Insumos,AWC,Anaya 2710,,15,10
"BOCHA PVC P/AP 3/4""",42010008,2226,Insumos,AWC,Anaya 2710,,15,10
"BOLILLA P/CONECTOR RAP. ""FILSA""",BXX-M04,35,Insumos,AWC,Anaya 2710,,15,10
Bolsas para muestreo,,1301,Insumos,AWC,Anaya 2710,,15,10
BOMBA ACOPLE MAGNETICO EKK SIN MOTOR,REPCONT42,127,Insumos,AWC,Anaya 2710,,15,10
BOMBA ACOPLE MAGNETICO MDM EKK,,2542,Insumos,AWC,Anaya 2710,,15,10
BOMBA ACOPLE MAGNETICO MX-F403,,2533,Insumos,AWC,Anaya 2710,,15,10
BOMBA ACOPME MAGNETICO MXM5453,,245,Insumos,AWC,Anaya 2710,,15,10
BOMBA AUXILIAR,,116,Insumos,AWC,Anaya 2710,,15,10
BOMBA BOOSTER 36V,293200,2591,Insumos,AWC,Anaya 2710,,15,10
BOMBA DE ACOPLE MAGNETICO,MD6-220,2940,Insumos,AWC,Anaya 2710,,15,10
"BOMBA DE MEDICION, 4-20MA CONTROL",HRP-54V-1A3,2937,Insumos,AWC,Anaya 2710,,15,10
"BOMBA DE MEDICION, CONTROL DE PULSO",HRP-54V-1P3,2936,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOMESTICA 7 L/MIN - 28MTS,ACC,1743,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOMESTICA SILEN 90 L/MIN - 32 MTS(Alum),EK800,1744,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE 36 - PE,,2608,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE 36 - VE,,2610,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE46-PE,,515,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE46-VC,02924557,1867,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE46-VE,,495,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE56-VC,02740348,1864,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE56-VE,,492,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EHE56E2-FC,,149,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EWN-C16 P/CLORO,,1775,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF EWN-C21 P/CLORO,,1778,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF. WALCHEM EHE36E2,EHE36E2-VC,2620,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF. WALCHEM EJ-B11,EJ-B11VC7ER,2488,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIF. WALCHEM EWN-B11,EWN-B11VCUR,2489,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA B-W C-1100,C11X553X000V00,698,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B11 c/va,EJ-B11VC7ERA,2487,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B11FCUR,,520,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B16FCUR,,519,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B16VCUR,REPABLA27,187,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B21VCUR,REPSANT41,188,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EJ-B31VCUR,,189,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA EWN CON VAL,EWN-B11VCURA,2541,Insumos,AWC,Anaya 2710,,15,10
BOMBA DOSIFICADORA IXD150TC,IX-D150TCN-TB-U,2630,Insumos,AWC,Anaya 2710,,15,10
BOMBA GOULD 10GBS15,PUMP,2029,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HOR CENT. 17A21M3/3,4A3,6BAR",,1004,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HOR CENT. 27M3/3,5BAR",,1005,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HOR. CENT. 12A17M3 / 3A3,6BAR",,1003,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HOR. CENT. 1A4M3/3,7BAR",,998,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HOR. CENT. 9A11M3/3A3,4BAR",,999,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL 32.2 ,3/H - 18.6MTS",,1749,Insumos,AWC,Anaya 2710,,15,10
BOMBA HORIZONTAL BOOSTER 7M3/H - 28MTS,,1764,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL BOOSTER 7M3/H - 37,5MTS",,1772,Insumos,AWC,Anaya 2710,,15,10
BOMBA HORIZONTAL CENTRIFUGA 22M3/H - 26MTS,PRO402,1727,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL CENTRIFUGA 7M3/H -  37,5 MTS",,1728,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL CENTRIFUGA 7M3/H - 37,5 MTS",,1733,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL CENTRIFUGA 7M3/H - 37,5 MTS (sello estandar)",ECM4-40T,1734,Insumos,AWC,Anaya 2710,,15,10
BOMBA HORIZONTAL CENTRIFUGA 7M3/H - 47 MTS,ECM4-50T,1735,Insumos,AWC,Anaya 2710,,15,10
"BOMBA HORIZONTAL CENTRIFUGA MULTIETAPAS 3,2M3/H - 53MTS",ECM2-60A,1804,Insumos,AWC,Anaya 2710,,15,10
"BOMBA INOX SIMIL PROCON 300L/H - 3/8""",,2122,Insumos,AWC,Anaya 2710,,15,10
"BOMBA INOX SIMIL PROCON 500L/H - 1/2""",,2123,Insumos,AWC,Anaya 2710,,15,10
BOMBA IX-C150TCN-TB-U,IX-C150TCN-TB-U,2903,Insumos,AWC,Anaya 2710,,15,10
BOMBA JET 90 L/MIN - 41MTS,EKLBJ-7125A,1757,Insumos,AWC,Anaya 2710,,15,10
BOMBA LKN47X-VC,LKN47C-VC,2901,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HOR CBI4-30,STA-01-84,2140,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HOR CBI4-40,STA-01-86,2141,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HOR CBI4-50,STA-01-88,2142,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HOR CHLF 2-40,CHLF 2-40,2011,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HOR. HBI 4-60,STA-01-62,2415,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA HORIZONTAL HBI 8-30,,2414,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA VER CDL2-110,CDL 2-110,2012,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA VERT SV-212,LW-20-10,1577,Insumos,AWC,Anaya 2710,,15,10
BOMBA MULTIETAPA VERT SV-218,,1578,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMÁTICA TC-X050AT-NPT,1C00024MN,2914,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X050PT-NPT,1C00023MN,2922,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X050ST-NPT,1C00025MN,2923,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X152PS-PP-BV-NPT,8E00033MN,2916,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X152PT-PP-BV-NPT,8E00031MN,2924,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X252PT-NPT-,1H00094MN,2925,Insumos,AWC,Anaya 2710,,15,10
BOMBA NEUMATICA TC-X253AT-NPT,1H00118MN,2926,Insumos,AWC,Anaya 2710,,15,10
BOMBA PARA OSMOSIS 600 GPD 220V,PUMP-220,2876,Insumos,AWC,Anaya 2710,,15,10
BOMBA PERISTALTICA,BOMPER951,1147,Insumos,AWC,Anaya 2710,,15,10
BOMBA PERISTALTICA B-W A-100NE,A1N31E-7T,1763,Insumos,AWC,Anaya 2710,,15,10
BOMBA PERISTALTICA B-W A-100NV,A1N31V-7T,1760,Insumos,AWC,Anaya 2710,,15,10
BOMBA PERISTALTICA BW A-1600,PUMP,2627,Insumos,AWC,Anaya 2710,,15,10
BOMBA PLASTICA PORTATIL SUMERGIBLE 70 L/MIN - 6 MTS,EFD100,1802,Insumos,AWC,Anaya 2710,,15,10
BOMBA PRESURIZADORA,,1531,Insumos,AWC,Anaya 2710,,15,10
BOMBA PRISMA 15 2M,1918,1928,Insumos,AWC,Anaya 2710,,15,10
BOMBA PROCON 103 A100F11XX-S2,,1960,Insumos,AWC,Anaya 2710,,15,10
BOMBA PROCON 112A140F11XX-S2,,2121,Insumos,AWC,Anaya 2710,,15,10
BOMBA PROCON 114A240F11XX-S2,PP 2F,2120,Insumos,AWC,Anaya 2710,,15,10
BOMBA PROCON 114A330F11XX-S4,PP 4F,2056,Insumos,AWC,Anaya 2710,,15,10
BOMBA RO,PUMP,1822,Insumos,AWC,Anaya 2710,,15,10
BOMBA SNOWBAR ALTA PRESION  800G,,439,Insumos,AWC,Anaya 2710,,15,10
BOMBA SUMERGIBLE + CHICOTE (LIQUIDOS),,2814,Insumos,AWC,Anaya 2710,,15,10
"BOMBA SUMERGIBLE 190 L/MIN - 7,5 MTS",EAP-05F,1784,Insumos,AWC,Anaya 2710,,15,10
BOMBA SUMERGIBLE 9M3/H - 50MTS,ACC,1742,Insumos,AWC,Anaya 2710,,15,10
"BOMBA SUMERGIBLE PORTATIL 220L/MIN 11,5MTS",,1767,Insumos,AWC,Anaya 2710,,15,10
BOMBA SUMERGIBLE PORTATIL 330L/MIN 18MTS,,1747,Insumos,AWC,Anaya 2710,,15,10
"BOMBA VERT. CENTR. 1,2M3/14BAR",,523,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERT. CENTR. 12M3/13BAR,,990,Insumos,AWC,Anaya 2710,,15,10
"BOMBA VERT. CENTR. 14A17M3/12A14,5BAR",,996,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERT. CENTR. 19A21M3/12A13BAR,14378,997,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERT. CENTR. 4M3/12BAR,,989,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERT. MULT. SBI 15-09,STA-00-09,2650,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERT. MULTIETAPA SBI 10-16,STA-00-38,2513,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL CENTRIFUGA 12M3/ - 124MTS,ECDL8-12,1740,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL CENTRIFUGA 12M3/H - 166MTS,,1758,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL CENTRIFUGA 22M3/H - 166MTS,,1759,Insumos,AWC,Anaya 2710,,15,10
"BOMBA VERTICAL CENTRIFUGA 3,5M3/H - 134MTS",,1794,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL CENTRIFUGA 3.5M3/H - 134MTS,,1750,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL CENTRIFUGA 7M3H - 152MTS,ECDL4-16,1736,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL MULT SBI 3-19,,2889,Insumos,AWC,Anaya 2710,,15,10
BOMBA VERTICAL PARA OSMOS 4500 GPD,HC1500,437,Insumos,AWC,Anaya 2710,,15,10
BORNE PC 2.5 MM GRIS,DEG0102,2697,Insumos,AWC,Anaya 2710,,15,10
BORNE PC 6 MM PC6-01P-11,DEG0106,2786,Insumos,AWC,Anaya 2710,,15,10
BORNERA 1MM,,2794,Insumos,AWC,Anaya 2710,,15,10
BORNERA DE TIERRA PARA 6 CONEX,DIN5104,2564,Insumos,AWC,Anaya 2710,,15,10
BOTELLA DESINFECCIÓN UV 600ML,,1643,Insumos,AWC,Anaya 2710,,15,10
BOTELLAS TERMO GRABADAS,,3000,Insumos,AWC,Anaya 2710,,15,10
BOTON BY PASS (ABB),ABB3302,2558,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 3.5x30 SLOTTED,H1031-30S,1846,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 3.5X36 SLOTTED,H1031-36S,2460,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 4x32 SLOTTED,H1030-32S,1845,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 4x36 SLOTTED,H1030-36S,1847,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 4X46 SLOTTED,H1030-46S,1848,Insumos,AWC,Anaya 2710,,15,10
BRINE WELL 4x48 SLOTTED,H1030-48S,1849,Insumos,AWC,Anaya 2710,,15,10
BUJE,BUJ1X12,216,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1 1/4""x 1 1/2""",20010079,2213,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1 X 1/2"" PPL",10010071,1108,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1""A 1/2 PPL",,2805,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1""x 1 1/4""",20010075,2212,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1""x3/4"" PPL",20010072,2211,Insumos,AWC,Anaya 2710,,15,10
BUJE 1/2 X 3/8 INOX,39510149,83,Insumos,AWC,Anaya 2710,,15,10
BUJE 1/2 X 3/8 TEFFEN,146242,2588,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1/2"" x 1""",20010071,2214,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1/2""x1/4"" TEFFEN",146240,2290,Insumos,AWC,Anaya 2710,,15,10
"BUJE 1/2""x3/8"" PPL",20010151,2233,Insumos,AWC,Anaya 2710,,15,10
BUJE 1/4 X 1/8 TEFEN,146230,2587,Insumos,AWC,Anaya 2710,,15,10
"BUJE 3/4""x1/2""",20010070,2210,Insumos,AWC,Anaya 2710,,15,10
"BUJE 3/8""x1/4"" INOX",146234,2291,Insumos,AWC,Anaya 2710,,15,10
BUJE 50 X 40 MM PVC,39510075,1220,Insumos,AWC,Anaya 2710,,15,10
BUJE 63X50 MM PVC,39510076,335,Insumos,AWC,Anaya 2710,,15,10
BUJE C/ROSCA 3/4 PPL,,2807,Insumos,AWC,Anaya 2710,,15,10
"BUJE DE REDUCCION 4""x2.5""",TK-REDUCER,1924,Insumos,AWC,Anaya 2710,,15,10
"BUJE RED INOX 1 Y 1/4 X 1""",144345,2747,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR 3/4 X 1/2 PPL,,2782,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR INOX 1/2 X 1/4,144328,2781,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR INOX 3/4 X 1/2,144335,2780,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR ROSCA MACHO 1/2 - ROSCA HEMBRA 1/4,PI0416,38,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR ROSCA MACHO 1/2 - ROSCA HEMBRA 3/8,CODTUB423,39,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR ROSCA MACHO 3/4 - ROSCA HEMBRA 1/2,DTOELE422,65,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR ROSCA MACHO 3/4 - ROSCA HEMBRA 1/4,,56,Insumos,AWC,Anaya 2710,,15,10
BUJE REDUCTOR ROSCA MACHO 3/8 - ROSCA HEMBRA 1/4,VALUNI422,36,Insumos,AWC,Anaya 2710,,15,10
BY PASS VERTICAL ADAPTER ASSEM,V3191-01,379,Insumos,AWC,Anaya 2710,,15,10
CABEZAL BOMBA EHE36,E36VC,2621,Insumos,AWC,Anaya 2710,,15,10
CABEZAL COMPLETO DOSIF IXD150,,2638,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DE BOMBA CLORADORA,EM106.025,1683,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF EHE46-PE,,517,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF EHE46-VC,,1869,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF EHE46-VE,,497,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF EHE56-VC,02924680,1866,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF EHE56-VE,,494,Insumos,AWC,Anaya 2710,,15,10
CABEZAL DOSIF. IXD150,IX0106,2631,Insumos,AWC,Anaya 2710,,15,10
