Codigo;CodigoOrigen;Concepto;Categoria;Proveedor;Producto;StockActual;STOCK ANAYA 2710;Ubicaci�n Anaya;STOCK CROCKER;Ubicaci�n Crocker;STOCK JUANICO;Ubicaci�n Juanico;OBSERV.; EN VIAJE;StockSeguridad;Stock M�ximo;Diferencia;"Bajo de stock ""BAJO"""; PRECIO FOB ;DTO; FOB FILSA ; PRECIO FOB FAC ;% COSTO ESTIMADO; COSTO ESTIMADO ; COSTO REAL$ ; COSTO REAL USD ; COEF. ; PRECIO DE LISTA USD ;NCM - NOMENCLATURA
33;;;CONECTORES RAPIDOS;GRANDE SA;"SEGURO P/CONECTOR RAP ""FILSA""";0;;0;;;;;;;100;500;500;BAJO;$ 15,00;0%;$ 15,00;;;;$ 15,00; USD 0,38 ;;;
34;62-100112;;CONECTORES RAPIDOS;RODI�O SA;"O'RING P/CONECTOR RAP ""FILSA""";0;;0;;;;;;;;;0;;;;;;;;$ 2,00; USD 0,05 ;;;
35;M3 - 157480G100;;CONECTORES RAPIDOS;NEMB;"BOLILLA P/CONECTOR RAP ""FILSA""";15000;15000;1-D-08-03;;;;;"SIZE: .157480"" / MATERIAL 316SS / GRADE 100";;15000;30000;15000;;0,042;0%;0,04;0,04;50%;0,06;; USD 0,07 ;;;
36;12011006048;TEFEN;ACC CA�ERIA;SEELYE INC;BUJE REDUCTOR ROSCA MACHO 3/8 - ROSCA HEMBRA 1/4;0;;0;;;;;;;;;0;; USD 0,73 ;0%; USD 0,73 ;;35%;0,99;; USD 1,09 ;2,7; USD 1,97 ;
38;12011008048;TEFEN;ACC CA�ERIA;SEELYE INC;BUJE REDUCTOR ROSCA MACHO 1/2 - ROSCA HEMBRA 1/4;0;;0;;;;;;;;;0;; USD 1,18 ;0%; USD 1,18 ;;35%;1,59;; USD 1,76 ;2,7; USD 3,19 ;
39;12011008068;TEFEN;ACC CA�ERIA;SEELYE INC;BUJE REDUCTOR ROSCA MACHO 1/2 - ROSCA HEMBRA 3/8;0;;0;;;;;;;;;0;; USD 1,21 ;0%; USD 1,21 ;;35%;1,63;; USD 1,80 ;2,7; USD 3,27 ;
40;STA-2000-0-0;ULTRA FILTRACION;MEMBRANS UF;BROTHER FILTRATION;MEMBRANA UF STA 2000 + CARCASA PVC + ACC CONEXI�N;4;;0;;;4;;;;;;0;; USD 510,00 ;0%; USD 510,00 ;;35%;688,5;$ 25.804,60; USD 645,12 ;2; USD 1.020,00 ;
41;C61665N62E13;TANQUE -FIBRA;16X65;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 16x65;1;1;1- Arriba derecha;;;;;;;12;18;17;BAJO; USD 378,00 ;0,34; USD 128,52 ;70;35,00%;173,5;$ 5.600,00; USD 140,00 ;1,15; USD 434,70 ;
42;;DOMESTICO;RECAMBIOS;BROTHER FILTRATION;FILTRO DOMESTICO MEMBRANA UF P/GRIFO;10;10;0;;;;;;;;;0;; USD 22,00 ;0%; USD 22,00 ;;35%;29,7;$ 1.360,00; USD 34,00 ;3; USD 66,00 ;
44;ESPA-1 4040;MEMBRANAS;M 4X40;WATER PURIFICATION SUPPLIES;"MEMBRANA H ESPA1-4040-4""x40""";9;9;1-A-9-1;;;;;1-A-09-01;;20;50;41;BAJO; USD 189,00 ;0%; USD 189,00 ;189;30%;245,7;$ 12.664,00; USD 316,60 ;3,06; USD 520,00 ;
45;MEM2440;;M 4X40;WATER PURIFICATION SUPPLIES;"MEMBRANA H ESPA2-4040-4""x40""";0;;0;;;;;;;0;0;0;;#N/A;0%;#N/A;;35%;#N/A;; USD 189,00 ;; USD -   ;
46;C61465N62E13;TANQUE -FIBRA;14x65;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 14x65;30;4;1- Arriba derecha ;;;26;;;;12;18;0;; USD 372,74 ;0,34; USD 126,73 ;65;35,00%;171,09;$ 5.000,00; USD 125,00 ;1,1; USD 410,01 ;
47;C51248N11A01;TANQUE -FIBRA;12x48;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 12x48;24;4;1-Arriba derecha;;;20;;;;15;24;0;; USD 159,10 ;0,34; USD 54,09 ;30;35,00%;73,03;$ 2.440,00; USD 61,00 ;1,3; USD 206,83 ;
48;C61354N62E13;TANQUE -FIBRA;13x54;CLACK CORPORATION;TANQUE FIBRA DE VIDRIO 13x54;34;19;1- Arriba derecha ;;;15;;;;12;18;0;; USD 224,40 ;0,34; USD 76,30 ;45;35,00%;103;$ 3.600,00; USD 90,00 ;1,1; USD 246,84 ;
49;;TANQUE SALMUERA;TANQUE SALMUERA;BROTHER FILTRATION;TANQUE SALMUERA COMPLETO 100 LTS;0;;0;;;;;;;;;0;; USD 40,50 ;0%; USD 40,50 ;;35%;54,68;$ 3.000,00; USD 75,00 ;3,9; USD 157,95 ;3923,9
50;;TANQUE SALMUERA;TANQUE SALMUERA;BROTHER FILTRATION / HIDROTEK;TANQUE SALMUERA COMPLETO 130 LTS;3;;0;3;;;;HIDROTEK USD 31;;;;0;; USD 47,50 ;0%; USD 47,50 ;;35%;64,13;$ 2.000,00; USD 50,00 ;3,4; USD 161,50 ;3923,9
52;;TANQUE SALMUERA;TANQUE SALMUERA;BROTHER FILTRATION / HIDROTEK;TANQUE SALMUERA COMPLETO 300 LTS;5;;0;3;;;;HIDROTEK USD 67,5;;;;0;; USD 119,00 ;0%; USD 119,00 ;;35%;160,65;$ 4.000,00; USD 100,00 ;3; USD 357,00 ;3923,9
53;;TANQUE SALMUERA;TANQUE SALMUERA;BROTHER FILTRATION / HIDROTEK;TANQUE SALMUERA COMPLETO 500 LTS;5;;0;3;;;;HIDROTEK USD 89,5;;;;0;; USD 150,00 ;0%; USD 150,00 ;;35%;202,5;$ 5.600,00; USD 140,00 ;3; USD 450,00 ;3923,9
56;12021012043;TEFEN;ACC CA�ERIA;SEELYE INC;BUJE REDUCTOR ROSCA MACHO 3/4 - ROSCA HEMBRA 1/4;0;;0;;;;;;;;;0;; USD 1,44 ;0%; USD 1,44 ;;35%;1,94;; USD 2,14 ;2,7; USD 3,89 ;
57;;DOMESTICO;RECAMBIOS;BROTHER FILTRATION;REPUESTO MEMBRANA UF P/GRIFO;10;10;0;;;;;;;;;0;; USD 5,00 ;0%; USD 5,00 ;;35%;6,75;$ 320,00; USD 8,00 ;3; USD 15,00 ;
58;TF-04;DOMESTICO;FILTROS;HIDROTEK;FILTRO DOMESTICO TF-04;98;98;1-F-7-1;;;;;1-H-03-01;;;;0;; USD 3,00 ;0%; USD 3,00 ;;35%;4,05;$ 160,00; USD 4,00 ;3; USD 9,00 ;
59;REPLACEMENT TF-04;DOMESTICO;FILTROS;HIDROTEK;REPUESTO FILTRO TF-04;50;50;1-F-7-1;;;;;1-H-03-01;;;;0;; USD 0,60 ;0%; USD 0,60 ;;35%;0,81;$ 31,60; USD 0,79 ;3; USD 1,80 ;
61;KWF-3 (PP+CTO+UF);DOMESTICO;ACC EQUIPOS;HIDROTEK;FILTRO DOMESTICO TRIPLE SOBRE MESADA KWF;55;35;1-C-93;20;;;;;;20;100;45;; USD 20,00 ;0%; USD 20,00 ;20;57%;31,4;$ 1.040,00; USD 26,00 ; -   ; USD 62,00 ;
62;DESPRE141;SERVICIO ;MO;FILSA (MO);DESINF. PRETRAT. AC PERAC;0;;0;;;;;;;;;0;;;;;;;;$ 7.882,00; USD 197,05 ;;;
63;DESCLO122;SERVICIO ;MO;FILSA (MO);DESINF. AGUA TRAT. C/FORMOL;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
64;KUF-3 (PP+CTO+UF);DOMESTICO;ACC EQUIPOS;HIDROTEK;FILTRO DOMESTICO TRIPLE BAJO MESADA KUF;56;56;C-9-3;;;;;;;15;50;0;; USD 20,70 ;0%; USD 20,70 ;20,7;57%;32,5;$ 1.303,44; USD 32,59 ; -   ; USD 66,00 ;
65;12011012088;TEFEN;ACC CA�ERIA;SEELYE INC;BUJE REDUCTOR ROSCA MACHO 3/4  - ROSCA HEMBRA 1/2;0;;0;;;;;;;;;0;; USD 1,50 ;0%; USD 1,50 ;;35%;2,03;; USD 2,23 ;2,7; USD 4,05 ;
66;PP-10F;DOMESTICO;FILTROS;HIDROTEK;REPUESTO FILTRO PARICULAS (DOMESTICO) - KUF/KWF;63;63;1-C-9-3;;;;;;;50;100;37;; USD 2,20 ;0%; USD 2,20 ;2,2;57%;3,45;$ 141,08; USD 3,53 ; -   ; USD 8,80 ;
67;CTO-10F;DOMESTICO;FILTROS;HIDROTEK;REPUESTO FILTRO CARBON (DOMESTICO) - KUF/KWF;63;63;1-C-9-3;;;;;;;50;100;37;; USD 2,40 ;0%; USD 2,40 ;2,4;57%;3,77;$ 153,96; USD 3,85 ; -   ; USD 9,50 ;
68;UF-10F;DOMESTICO;FILTROS;HIDROTEK;REPUESTO FILTRO UF (DOMESTICO) - KUF/KWF;63;63;1-C-9-3;;;;;;;50;100;37;; USD 4,10 ;0%; USD 4,10 ;4,1;57%;6,44;$ 263,00; USD 6,58 ; -   ; USD 16,00 ;
69;12010304048;TEFEN;ACC CA�ERIA;SEELYE INC;CUPLA ROSCA HEMBRA 1/4 TEFFEN;0;;0;;;;;;;;;0;; USD 0,66 ;0%; USD 0,66 ;;35%;0,89;; USD 0,98 ;2,7; USD 1,78 ;
70;FCV-16-25;EQ FILTRO / ABLANDADOR;ABLANDADOR;HIDROTEK;ABLANDADOR COMPLETO 25L/RESINA - DOMESTICO;12;;1-I;12;;;;;;0;0;0;; USD 240,00 ;0%; USD 240,00 ;228;57%;376,8;$ 12.400,00; USD 310,00 ;3,13; USD 750,00 ;2501 - 00
71;SOPINO452;BOMBA DOSIF;Vac�o;C.B.C LTDA;SOPORTE DE INOXIDABLE BOMBA EJ;0;;0;;;;;;;5;10;10;BAJO;;;;;;;$ 2.000,00; USD 50,00 ;; USD 60,00 ;
72;;;Vac�o;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;OSMOSIS;;OSMOSIS INVERSA 600GPD;;2;;2;;;;;;;;;;;;;;;;;;;;
74;;;OSMOSIS;;OSMOSIS INVERSA 600GPD;;2;;1;;;;;;;;;;;;;;;;;;;;
75;RO-600G-B06;EQ OSMOSIS;OSMOSIS;HIDROTEK;OSMOSIS INVERSA 600GPD;8;1;0;5;;2;;;;0;0;0;; USD 330,00 ;0%; USD 330,00 ;330;30%;429;$ 18.000,00; USD 450,00 ;3,6; USD 1.188,00 ;8421,29
76;12010306068;TEFEN;ACC CA�ERIA;SEELYE INC;CUPLA ROSCA HEMBRA 3/8;0;;0;;;;;;;;;0;; USD 0,74 ;0%; USD 0,74 ;;35%;1;; USD 1,10 ;2,7; USD 2,00 ;
78;EDI 2,0HP;EDI;EQUIPO EDI;HIDROTEK;MODULO EDI 2,0HP 220V/50HZ;0;;0;;;;;;;1;1;1;BAJO; USD 4.000,00 ;0%; USD 4.000,00 ;4.000,00;57%;6.280,00;$ 251.880,00; USD 6.297,00 ;3; USD 12.000,00 ;
79;12011908048;TEFEN;ACC CA�ERIA;SEELYE INC;CUPLA REDUCTORA ROSCA HEMBRA 1/2 A 1/4;0;;0;;;;;;;;;0;; USD 1,16 ;0%; USD 1,16 ;;35%;1,57;; USD 1,73 ;2,7; USD 3,13 ;
81;ARTICULO SIN IVA;ARTICULO SIN IVA;ADMINISTRACION;ARTICULO SIN IVA;CJPPU - TIMBRES;0;;0;;;;;;;;;0;;;;;;;;; USD -   ;;;
83;39510149;;ACC CA�ERIA;LA PROA DEL SANITARIO;BUJE 32 X 20 MM;0;;0;;;;;;;;;0;;;;;;;;; USD 0,37 ;1,3; USD 0,48 ;
85;ORS40;;ACC EQ OZONO;CLEAR WATER TECH LLC;O'RINGS SET ENDCAPS 8PCS;5;5;1-D52-06;;;;;1-D-05-02-06;;;;0;; USD 70,06 ;55%; USD 31,88 ;;;;; USD 40,40 ;1,2; USD 84,07 ;
86;MANCRS744;;MANGUERA;GARCIA Y QUINTANA Ltda.;"MANGUERA CRISTAL 1/2""";0;;0;;;;;;;;;0;;1,02;0%;1,02;;;;$ 30,55; USD 1,01 ;1,6; USD 1,63 ;
87;MANCRI411;MANGUERA;MANGUERA;GARCIA Y QUINTANA Ltda.;"MANGUERA CRISTAL 5/8"" (50 METROS)";0;;0;;;;;;;0;0;0;;56,62;19%;45,86;;;;$ 45,86; USD 1,15 ;1,3; USD 1,49 ;
88;V3078;REPUESTO - NHW;ACC. VALVULAS CLACK;CLACK CORPORATION;"CUBIERTA TRANSMISI�N NO HARD WATER 1,5"" / 2""";10;10;1-D-43-08;;;;;1-E-04-03-08;;5;10;0;; USD 69,24 ;0,32; USD 22,16 ;12,52;35;797,64;; USD 31,00 ;1,35; USD 93,47 ;
89;12011912088;TEFEN;ACC CA�ERIA;SEELYE INC;CUPLA REDUCTORA ROSCA HEMBRA 3/4 A 1/2;0;;1-D-04-02-9;;;;;;;;;0;; USD 1,09 ;0%; USD 1,09 ;;35%;1,47;; USD 1,62 ;2,7; USD 2,94 ;
90;V3419;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;O'RING WS2 / TANQUE;9;9;1-E42-09;;;;;1-E42-09;;;;0;; USD 6,02 ;0,32; USD 1,93 ;1,87;;;; USD 3,00 ;1,35; USD 2,60 ;
91;12012104008;TEFEN;ACC CA�ERIA;SEELYE INC;TAPON 1/4;0;;0;;;;;;;;;0;; USD 0,42 ;0%; USD 0,42 ;;35%;0,57;; USD 0,63 ;2,7; USD 1,13 ;
92;V3641;REPUESTO;ACC. VALVULAS CLACK;CLACK CORPORATION;O'RING DISTRIBUIDOR WS2/WS1,5;8;8;1-D-04-02-9;;;;;1-E42-09;;;;0;; USD 1,76 ;0,32; USD 0,56 ;0,55;;;; USD -   ;1,65; USD 0,93 ;
93;12012106008;TEFEN;ACC CA�ERIA;SEELYE INC;TAPON 3/8;0;;0;;;;;;;;;0;; USD 0,44 ;0%; USD 0,44 ;;35%;0,59;; USD 0,65 ;2,7; USD 1,19 ;
94;INDION ASM;MEDIO FILTRANTE;RESINAS;ION EXCHANGE;RESINA PARA ARSENICO ASM ;975;;0;;;975;;;;;;0;;7,85;0%; USD 7,85 ;7,85;35%;10,6;; USD 9,67 ;2,4; USD 18,84 ;
95;12012112008;TEFEN;ACC CA�ERIA;SEELYE INC;TAPON 3/4;0;;0;;;;;;;;;0;; USD 0,55 ;0%; USD 0,55 ;;35%;0,74;; USD 0,82 ;2,7; USD 1,49 ;
96;12446846048;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 1/4 - ESPIGA 1/4;0;;0;;;;;;;;;0;; USD 0,40 ;0%; USD 0,40 ;;35%;0,54;; USD 0,60 ;2,7; USD 1,08 ;
97;12446848088;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 1/2 - ESPIGA 1/4;0;;0;;;;;;;;;0;; USD 0,52 ;0%; USD 0,52 ;;35%;0,7;; USD 0,77 ;2,7; USD 1,40 ;
98;12446850088;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 1/2 - ESPIGA 3/8;0;;0;;;;;;;;;0;; USD 0,52 ;0%; USD 0,52 ;;35%;0,7;; USD 0,77 ;2,7; USD 1,40 ;
99;12446852088;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 1/2 - ESPIGA 1/2;0;;0;;;;;;;;;0;; USD 0,63 ;0%; USD 0,63 ;;35%;0,85;; USD 0,94 ;2,7; USD 1,70 ;
100;;DOMESTICO;EQUIPO UF;BROTHER FILTRATION;UF FILTRO EN LINEA 2000 L/H (pipe line);7;7;1-F-4-2;;;;;;;;;0;; USD 77,00 ;0,00%; USD 77,00 ;;35%;103,95;$ 3.826,52; USD 95,66 ;5; USD 385,00 ;8421,99
101;;DOMESTICO;FILTROS;BROTHER FILTRATION;REPUESTO FILTRO PIPE LINE 2000 L/H;20;20;1-F-4-2;;;;;;;;;0;; USD 35,00 ;0,00%; USD 35,00 ;;35%;47,25;$ 1.800,00; USD 45,00 ;4; USD 140,00 ;8421,99
102;EHC-E23UPE;BOMBA DOSIF;ACC BOMBAS DOSIF;WALCHEM IWAKI AMERICA INC;REPUESTO ELECTR�NICA BOMBA EHE 230V;2;2;1-E-42-04;;;;;1-D-04-02;;0;2;0;; USD 780,00 ;58%; USD 327,60 ;;;;; USD 380,00 ;1,1; USD 858,00 ;
103;12446852128;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 3/4 - ESPIGA 1/2;0;;0;;;;;;;;;0;; USD 0,65 ;0%; USD 0,65 ;;35%;0,88;; USD 0,97 ;2,7; USD 1,76 ;
104;SD-01-025-10;;ACC CA�ERIA;GIANNI;CA�O PVC 25mm / 1 mt.;0;;0;;;;;;;;;0;;;25,00%; -   ;;;;; USD 1,04 ;; USD -   ;
105;SD-01-032-10;;ACC CA�ERIA;GIANNI;CA�O PVC 32 mm / 1mt.;0;;0;;;;;;;;;0;;;25,00%; -   ;;;;; USD 0,94 ;; USD -   ;
106;12446859128;TEFEN;ACC CA�ERIA;SEELYE INC;REBOSE ROSCA MACHO 1/2 - ESPIGA 3/4;0;;0;;;;;;;;;0;; USD 0,70 ;0%; USD 0,70 ;;35%;0,95;; USD 1,04 ;2,7; USD 1,89 ;
107;V3072;REPUESTO - NHW;ACC. VALVULAS CLACK;CLACK CORPORATION;CUBIERTA TRANSMISI�N NO HARD WATER 1/125;10;10;1-D-42-08;;;;;1-E42-;;5;10;0;; USD 51,20 ;0,32; USD 16,38 ;12,52;35;589,82;; USD 20,00 ;1,35; USD 69,12 ;
108;B1-JU;CARCASA;SOPORTE;WATER PURIFICATION SUPPLIES;"SOPORTE FILTRO 4.5""";22;22;1-E-09-02;;;;;1-E-09-02;;20;50;28;;7,5;0%;7,5;7,5;35%;10,13;$ 343,68; USD 8,59 ;2; USD 15,00 ;
109;V3074;REPUESTO - NHW;ACC. VALVULAS CLACK;CLACK CORPORATION;ENSAMBLE DE SELLO  PARA NHW 1/125/1,5;10;10;1-D-43-06;;;;;1-d-04-03-06;;5;10;0;; USD 28,00 ;0,32; USD 8,96 ;7,09;;;; USD 13,00 ;1,35; USD 37,80 ;
110;12446859168;TEFEN;ACC CA�ERIA;SEELYE INC;"REBOSE ROSCA MACHO 1"" - ESPIGA 3/4";0;;0;;;;;;;;;0;; USD 0,81 ;0%; USD 0,81 ;;35%;1,09;; USD 1,21 ;2,7; USD 2,19 ;
111;FLETE;FLETE;Vac�o;FLETE;FLETE;0;;0;;;;;;;;;0;;;;243;;;;; USD -   ;;;
112;12446865168;TEFEN;ACC CA�ERIA;SEELYE INC;"REBOSE ROSCA MACHO 1"" - ESPIGA 1""";0;;1-D-08-02;;;;;;;;;0;; USD 1,16 ;0%; USD 1,16 ;;35%;1,57;; USD 1,73 ;2,7; USD 3,13 ;
113;INDION 8111;INSUMOS;ANTINCRUSTANTE;ION EXCHANGE;ANTI INCRUSTANTE INDION ;4000;;0;;;4000;;;;;;0;; USD 2,33 ;0%; USD 2,33 ;2,1;20%;2,8;$ 139,20; USD 3,48 ;3; USD 7,00 ;
114;INDION 225 NA ;MEDIO FILTRANTE;RESINAS;ION EXCHANGE;RESINA INDION ABLANDADOR 225 Na ;9200;200;0;;;9000;;dto max 25%;;;;0;; USD 1,40 ;0%; USD 1,40 ;1,22;20%;1,68;$ 58,32; USD 1,46 ;3,5; USD 4,90 ;
115;INDION MB-115;MEDIO FILTRANTE;RESINAS;ION EXCHANGE;RESINA INDION LECHO MIXTO MB-115;2425;50;0;;;2375;;dto max 15%;;;;0;; USD 3,10 ;0%; USD 3,10 ;2,8;20%;3,72;$ 129,88; USD 3,25 ;2,5; USD 7,75 ;3914-00
116;;BOMBA;Vac�o;;BOMBA AUXILIAR;0;;0;;;;;;;;;0;; USD 2,10 ;0%; USD 2,10 ;2,1;40%;2,94; $ -   ; USD -   ;;;
117;FA40;;ACC EQ OZONO;CLEAR WATER TECH LLC;FAN / FILTRO 4IN CD ;10;10;1-D52-06;;;;;1-D-05-02-06;;;;0;; USD 12,09 ;55%; USD 5,50 ;;;5,5;; USD 6,25 ;1,2; USD 14,51 ;
